CustID,age,job,marital,education
1001,58,management,married,tertiary
1002,44,technician,single,secondary
1003,33,entrepreneur,married,secondary
1004,47,blue-collar,married,unknown
1005,33,unknown,single,unknown
1006,35,management,married,tertiary
1007,28,management,single,tertiary
1008,42,entrepreneur,divorced,tertiary
1009,58,retired,married,primary
1010,43,technician,single,secondary
1011,41,admin.,divorced,secondary
1012,29,admin.,single,secondary
1013,53,technician,married,secondary
1014,58,technician,married,unknown
1015,57,services,married,secondary
1016,51,retired,married,primary
1017,45,admin.,single,unknown
1018,57,blue-collar,married,primary
1019,60,retired,married,primary
1020,33,services,married,secondary
1021,28,blue-collar,married,secondary
1022,56,management,married,tertiary
1023,32,blue-collar,single,primary
1024,25,services,married,secondary
1025,40,retired,married,primary
1026,44,admin.,married,secondary
1027,39,management,single,tertiary
1028,52,entrepreneur,married,secondary
1029,46,management,single,secondary
1030,36,technician,single,secondary
1031,57,technician,married,secondary
1032,49,management,married,tertiary
1033,60,admin.,married,secondary
1034,59,blue-collar,married,secondary
1035,51,management,married,tertiary
1036,57,technician,divorced,secondary
1037,25,blue-collar,married,secondary
1038,53,technician,married,secondary
1039,36,admin.,divorced,secondary
1040,37,admin.,single,secondary
1041,44,services,divorced,secondary
1042,50,management,married,secondary
1043,60,blue-collar,married,unknown
1044,54,retired,married,secondary
1045,58,retired,married,unknown
1046,36,admin.,single,primary
1047,58,self-employed,married,tertiary
1048,44,technician,married,secondary
1049,55,technician,divorced,secondary
1050,29,management,single,tertiary
1051,54,blue-collar,married,secondary
1052,48,management,divorced,tertiary
1053,32,management,married,tertiary
1054,42,admin.,single,secondary
1055,24,technician,single,secondary
1056,38,entrepreneur,single,tertiary
1057,38,management,single,tertiary
1058,47,blue-collar,married,unknown
1059,40,blue-collar,single,unknown
1060,46,services,married,primary
1061,32,admin.,married,tertiary
1062,53,technician,divorced,secondary
1063,57,blue-collar,married,primary
1064,33,services,married,secondary
1065,49,blue-collar,married,unknown
1066,51,management,married,tertiary
1067,60,retired,married,tertiary
1068,59,management,divorced,tertiary
1069,55,technician,married,secondary
1070,35,blue-collar,single,secondary
1071,57,blue-collar,married,secondary
1072,31,services,married,secondary
1073,54,management,married,secondary
1074,55,blue-collar,married,primary
1075,43,technician,married,secondary
1076,53,technician,married,secondary
1077,44,blue-collar,married,secondary
1078,55,services,divorced,secondary
1079,49,services,divorced,secondary
1080,55,services,divorced,secondary
1081,45,admin.,single,secondary
1082,47,services,divorced,secondary
1083,42,technician,single,secondary
1084,59,admin.,married,secondary
1085,46,self-employed,married,tertiary
1086,51,blue-collar,married,primary
1087,56,admin.,married,secondary
1088,41,technician,married,secondary
1089,46,management,divorced,secondary
1090,57,retired,married,secondary
1091,42,management,single,secondary
1092,30,technician,married,secondary
1093,60,admin.,married,secondary
1094,60,blue-collar,married,unknown
1095,57,entrepreneur,divorced,secondary
1096,36,management,married,tertiary
1097,55,blue-collar,married,secondary
1098,60,retired,married,tertiary
1099,39,technician,married,secondary
1100,46,management,married,tertiary
1101,44,blue-collar,married,secondary
1102,53,blue-collar,married,primary
1103,52,blue-collar,married,primary
1104,59,blue-collar,married,primary
1105,27,technician,single,tertiary
1106,44,blue-collar,married,secondary
1107,47,technician,married,tertiary
1108,34,admin.,married,secondary
1109,59,retired,single,secondary
1110,45,management,married,tertiary
1111,29,services,divorced,secondary
1112,46,technician,divorced,secondary
1113,56,self-employed,married,primary
1114,36,blue-collar,married,primary
1115,59,retired,divorced,primary
1116,44,blue-collar,married,secondary
1117,41,admin.,married,secondary
1118,33,management,single,tertiary
1119,59,management,divorced,tertiary
1120,57,technician,married,primary
1121,56,technician,divorced,unknown
1122,51,blue-collar,married,secondary
1123,34,admin.,married,unknown
1124,43,services,married,secondary
1125,52,technician,married,tertiary
1126,33,technician,single,secondary
1127,29,admin.,single,secondary
1128,34,services,married,secondary
1129,31,blue-collar,married,secondary
1130,55,services,married,secondary
1131,55,management,married,unknown
1132,32,admin.,single,secondary
1133,38,technician,single,secondary
1134,55,admin.,single,secondary
1135,28,unemployed,single,tertiary
1136,23,blue-collar,married,secondary
1137,32,technician,single,secondary
1138,43,services,single,unknown
1139,32,blue-collar,married,secondary
1140,46,blue-collar,married,secondary
1141,53,housemaid,divorced,primary
1142,34,self-employed,single,secondary
1143,57,unemployed,married,tertiary
1144,37,blue-collar,married,secondary
1145,59,blue-collar,married,secondary
1146,33,services,married,secondary
1147,56,blue-collar,divorced,primary
1148,48,unemployed,married,secondary
1149,43,services,married,primary
1150,54,blue-collar,married,primary
1151,51,blue-collar,married,unknown
1152,26,student,single,secondary
1153,40,management,married,tertiary
1154,39,management,married,secondary
1155,50,technician,married,primary
1156,41,services,married,secondary
1157,51,blue-collar,married,unknown
1158,60,retired,divorced,secondary
1159,52,blue-collar,married,secondary
1160,48,blue-collar,married,secondary
1161,48,services,married,unknown
1162,39,technician,single,tertiary
1163,47,services,single,secondary
1164,40,blue-collar,married,secondary
1165,45,technician,married,secondary
1166,26,admin.,single,secondary
1167,52,management,married,tertiary
1168,54,technician,married,secondary
1169,54,admin.,married,tertiary
1170,50,blue-collar,married,primary
1171,35,blue-collar,married,secondary
1172,44,services,married,secondary
1173,53,entrepreneur,married,unknown
1174,35,retired,single,primary
1175,60,admin.,divorced,secondary
1176,53,admin.,divorced,secondary
1177,48,unemployed,married,secondary
1178,34,technician,married,secondary
1179,54,services,married,secondary
1180,51,management,married,secondary
1181,31,services,married,tertiary
1182,35,technician,divorced,secondary
1183,35,services,married,secondary
1184,38,technician,married,secondary
1185,36,admin.,married,tertiary
1186,58,retired,married,primary
1187,40,services,divorced,unknown
1188,54,management,married,secondary
1189,34,blue-collar,single,secondary
1190,31,management,single,tertiary
1191,51,retired,married,secondary
1192,33,management,married,tertiary
1193,55,management,married,tertiary
1194,42,admin.,married,secondary
1195,34,blue-collar,married,secondary
1196,33,blue-collar,single,secondary
1197,38,services,married,secondary
1198,50,technician,divorced,tertiary
1199,43,management,married,tertiary
1200,61,blue-collar,divorced,primary
1201,47,admin.,married,secondary
1202,48,self-employed,married,tertiary
1203,44,blue-collar,married,secondary
1204,35,student,single,unknown
1205,35,services,married,secondary
1206,50,services,married,secondary
1207,41,management,married,tertiary
1208,41,management,married,tertiary
1209,39,services,single,unknown
1210,42,retired,married,secondary
1211,38,blue-collar,married,secondary
1212,53,retired,married,secondary
1213,59,housemaid,divorced,primary
1214,36,services,married,secondary
1215,54,blue-collar,married,primary
1216,40,technician,married,tertiary
1217,47,unknown,married,unknown
1218,53,unemployed,married,unknown
1219,46,housemaid,married,primary
1220,39,management,married,tertiary
1221,40,unemployed,married,secondary
1222,28,blue-collar,married,primary
1223,35,entrepreneur,divorced,secondary
1224,55,retired,married,secondary
1225,43,technician,divorced,unknown
1226,48,blue-collar,married,primary
1227,58,management,married,unknown
1228,33,management,single,tertiary
1229,36,blue-collar,married,unknown
1230,53,services,divorced,secondary
1231,47,blue-collar,married,primary
1232,31,services,married,secondary
1233,57,entrepreneur,married,secondary
1234,53,blue-collar,married,unknown
1235,55,blue-collar,married,primary
1236,45,blue-collar,married,primary
1237,53,admin.,divorced,secondary
1238,37,blue-collar,married,primary
1239,44,admin.,divorced,secondary
1240,49,blue-collar,divorced,primary
1241,46,technician,married,secondary
1242,43,entrepreneur,married,unknown
1243,38,admin.,married,secondary
1244,43,technician,married,secondary
1245,49,management,married,tertiary
1246,42,management,married,unknown
1247,22,blue-collar,single,secondary
1248,40,management,married,tertiary
1249,39,blue-collar,married,secondary
1250,51,services,married,secondary
1251,49,admin.,married,secondary
1252,53,blue-collar,married,secondary
1253,34,services,single,secondary
1254,33,technician,divorced,secondary
1255,50,management,single,tertiary
1256,39,blue-collar,married,primary
1257,59,entrepreneur,divorced,secondary
1258,30,technician,single,secondary
1259,36,services,married,secondary
1260,40,blue-collar,married,secondary
1261,53,blue-collar,married,secondary
1262,34,management,single,tertiary
1263,37,technician,married,secondary
1264,42,management,divorced,tertiary
1265,41,entrepreneur,married,primary
1266,30,student,single,tertiary
1267,37,management,single,tertiary
1268,39,admin.,divorced,secondary
1269,41,blue-collar,married,primary
1270,40,blue-collar,married,primary
1271,42,management,single,tertiary
1272,40,blue-collar,divorced,primary
1273,57,technician,married,secondary
1274,56,entrepreneur,divorced,secondary
1275,37,admin.,married,secondary
1276,59,retired,married,secondary
1277,39,services,divorced,secondary
1278,49,services,married,secondary
1279,38,services,single,secondary
1280,36,self-employed,married,tertiary
1281,50,blue-collar,married,primary
1282,41,admin.,married,secondary
1283,54,technician,married,tertiary
1284,58,blue-collar,married,primary
1285,30,blue-collar,single,secondary
1286,33,admin.,single,secondary
1287,47,admin.,married,secondary
1288,50,technician,single,tertiary
1289,32,blue-collar,married,secondary
1290,40,self-employed,married,secondary
1291,37,management,married,tertiary
1292,54,technician,single,unknown
1293,24,student,single,secondary
1294,54,management,married,tertiary
1295,34,technician,married,secondary
1296,56,technician,divorced,primary
1297,31,blue-collar,single,secondary
1298,24,student,single,secondary
1299,42,blue-collar,divorced,primary
1300,57,technician,married,secondary
1301,42,blue-collar,married,unknown
1302,51,admin.,married,secondary
1303,57,retired,married,secondary
1304,36,services,single,secondary
1305,53,services,married,unknown
1306,50,technician,married,secondary
1307,54,management,married,tertiary
1308,55,blue-collar,married,secondary
1309,44,blue-collar,married,secondary
1310,43,management,married,unknown
1311,56,admin.,married,secondary
1312,54,technician,married,unknown
1313,55,services,divorced,primary
1314,37,services,divorced,secondary
1315,33,admin.,single,tertiary
1316,46,admin.,married,secondary
1317,36,blue-collar,married,secondary
1318,51,technician,single,secondary
1319,40,retired,single,primary
1320,42,blue-collar,married,secondary
1321,51,blue-collar,married,secondary
1322,49,blue-collar,married,unknown
1323,48,management,married,secondary
1324,32,technician,divorced,tertiary
1325,31,admin.,single,secondary
1326,55,management,single,tertiary
1327,40,blue-collar,single,secondary
1328,47,technician,married,tertiary
1329,57,technician,married,unknown
1330,41,blue-collar,married,secondary
1331,48,blue-collar,married,secondary
1332,42,blue-collar,married,unknown
1333,30,blue-collar,single,secondary
1334,58,management,single,tertiary
1335,45,management,divorced,tertiary
1336,49,blue-collar,married,secondary
1337,42,admin.,single,secondary
1338,53,technician,married,secondary
1339,51,admin.,single,secondary
1340,32,services,single,secondary
1341,41,blue-collar,single,secondary
1342,43,management,divorced,secondary
1343,40,blue-collar,divorced,secondary
1344,50,blue-collar,married,primary
1345,34,management,married,tertiary
1346,53,services,married,unknown
1347,45,technician,married,secondary
1348,39,blue-collar,married,primary
1349,44,services,married,tertiary
1350,55,management,married,tertiary
1351,46,management,single,tertiary
1352,45,blue-collar,married,secondary
1353,34,admin.,married,secondary
1354,36,blue-collar,married,secondary
1355,59,unknown,divorced,unknown
1356,31,admin.,single,secondary
1357,44,blue-collar,single,secondary
1358,33,entrepreneur,single,tertiary
1359,40,blue-collar,married,secondary
1360,46,admin.,single,tertiary
1361,48,management,married,tertiary
1362,42,services,married,secondary
1363,27,services,married,secondary
1364,48,admin.,married,secondary
1365,59,admin.,married,secondary
1366,46,technician,married,tertiary
1367,38,admin.,divorced,secondary
1368,43,management,divorced,tertiary
1369,38,admin.,divorced,tertiary
1370,23,student,single,secondary
1371,34,services,married,secondary
1372,38,admin.,married,secondary
1373,37,blue-collar,married,secondary
1374,25,admin.,single,secondary
1375,48,blue-collar,married,unknown
1376,49,blue-collar,single,secondary
1377,38,admin.,single,secondary
1378,43,blue-collar,married,primary
1379,33,management,married,tertiary
1380,55,blue-collar,married,secondary
1381,38,blue-collar,married,secondary
1382,49,services,married,secondary
1383,40,management,married,secondary
1384,43,admin.,married,unknown
1385,38,blue-collar,married,secondary
1386,58,services,married,secondary
1387,57,technician,married,unknown
1388,32,unemployed,married,secondary
1389,56,management,married,tertiary
1390,58,blue-collar,divorced,unknown
1391,60,retired,divorced,secondary
1392,37,technician,married,tertiary
1393,46,technician,divorced,tertiary
1394,27,admin.,married,secondary
1395,43,blue-collar,married,secondary
1396,32,technician,single,secondary
1397,40,admin.,single,secondary
1398,38,admin.,married,secondary
1399,34,blue-collar,married,secondary
1400,47,blue-collar,married,primary
1401,42,housemaid,married,primary
1402,48,technician,married,secondary
1403,29,self-employed,single,tertiary
1404,50,services,married,secondary
1405,52,technician,married,unknown
1406,50,management,married,tertiary
1407,58,retired,married,tertiary
1408,46,blue-collar,divorced,primary
1409,38,technician,married,secondary
1410,46,blue-collar,married,secondary
1411,32,services,single,secondary
1412,51,blue-collar,married,primary
1413,39,admin.,single,secondary
1414,48,admin.,married,secondary
1415,36,entrepreneur,married,tertiary
1416,34,admin.,divorced,secondary
1417,40,technician,married,secondary
1418,43,unemployed,married,secondary
1419,52,blue-collar,divorced,primary
1420,33,technician,married,secondary
1421,49,management,single,tertiary
1422,32,management,single,tertiary
1423,39,admin.,single,secondary
1424,40,blue-collar,married,secondary
1425,38,technician,single,tertiary
1426,43,management,married,secondary
1427,39,services,married,secondary
1428,54,blue-collar,married,primary
1429,38,technician,single,tertiary
1430,40,blue-collar,married,secondary
1431,55,admin.,married,secondary
1432,42,management,married,tertiary
1433,39,blue-collar,married,secondary
1434,40,blue-collar,married,primary
1435,32,blue-collar,married,secondary
1436,55,admin.,married,secondary
1437,45,blue-collar,married,secondary
1438,35,management,single,tertiary
1439,58,technician,divorced,secondary
1440,35,admin.,married,secondary
1441,49,services,married,primary
1442,34,technician,single,tertiary
1443,36,blue-collar,married,secondary
1444,24,self-employed,single,secondary
1445,34,technician,married,secondary
1446,51,admin.,divorced,secondary
1447,39,technician,single,unknown
1448,50,self-employed,married,unknown
1449,32,services,single,secondary
1450,42,blue-collar,married,unknown
1451,50,technician,married,secondary
