CustID	age	default	balance	housing	loan	contact
1001	58	no	2143	yes	no	unknown
1002	44	no	29	yes	no	unknown
1003	33	no	2	yes	yes	unknown
1004	47	no	1506	yes	no	unknown
1005	33	no	1	no	no	unknown
1006	35	no	231	yes	no	unknown
1007	28	no	447	yes	yes	unknown
1008	42	yes	2	yes	no	unknown
1009	58	no	121	yes	no	unknown
1010	43	no	593	yes	no	unknown
1011	41	no	270	yes	no	unknown
1012	29	no	390	yes	no	unknown
1013	53	no	6	yes	no	unknown
1014	58	no	71	yes	no	unknown
1015	57	no	162	yes	no	unknown
1016	51	no	229	yes	no	unknown
1017	45	no	13	yes	no	unknown
1018	57	no	52	yes	no	unknown
1019	60	no	60	yes	no	unknown
1020	33	no	0	yes	no	unknown
1021	28	no	723	yes	yes	unknown
1022	56	no	779	yes	no	unknown
1023	32	no	23	yes	yes	unknown
1024	25	no	50	yes	no	unknown
1025	40	no	0	yes	yes	unknown
1026	44	no	-372	yes	no	unknown
1027	39	no	255	yes	no	unknown
1028	52	no	113	yes	yes	unknown
1029	46	no	-246	yes	no	unknown
1030	36	no	265	yes	yes	unknown
1031	57	no	839	no	yes	unknown
1032	49	no	378	yes	no	unknown
1033	60	no	39	yes	yes	unknown
1034	59	no	0	yes	no	unknown
1035	51	no	10635	yes	no	unknown
1036	57	no	63	yes	no	unknown
1037	25	no	-7	yes	no	unknown
1038	53	no	-3	no	no	unknown
1039	36	no	506	yes	no	unknown
1040	37	no	0	yes	no	unknown
1041	44	no	2586	yes	no	unknown
1042	50	no	49	yes	no	unknown
1043	60	no	104	yes	no	unknown
1044	54	no	529	yes	no	unknown
1045	58	no	96	yes	no	unknown
1046	36	no	-171	yes	no	unknown
1047	58	no	-364	yes	no	unknown
1048	44	no	0	yes	no	unknown
1049	55	no	0	no	no	unknown
1050	29	no	0	yes	no	unknown
1051	54	no	1291	yes	no	unknown
1052	48	no	-244	yes	no	unknown
1053	32	no	0	yes	no	unknown
1054	42	no	-76	yes	no	unknown
1055	24	no	-103	yes	yes	unknown
1056	38	no	243	no	yes	unknown
1057	38	no	424	yes	no	unknown
1058	47	no	306	yes	no	unknown
1059	40	no	24	yes	no	unknown
1060	46	no	179	yes	no	unknown
1061	32	no	0	yes	no	unknown
1062	53	no	989	yes	no	unknown
1063	57	no	249	yes	no	unknown
1064	33	no	790	yes	no	unknown
1065	49	no	154	yes	no	unknown
1066	51	no	6530	yes	no	unknown
1067	60	no	100	no	no	unknown
1068	59	no	59	yes	no	unknown
1069	55	no	1205	yes	no	unknown
1070	35	no	12223	yes	yes	unknown
1071	57	no	5935	yes	yes	unknown
1072	31	no	25	yes	yes	unknown
1073	54	no	282	yes	yes	unknown
1074	55	no	23	yes	no	unknown
1075	43	no	1937	yes	no	unknown
1076	53	no	384	yes	no	unknown
1077	44	no	582	no	yes	unknown
1078	55	no	91	no	no	unknown
1079	49	no	0	yes	yes	unknown
1080	55	yes	1	yes	no	unknown
1081	45	no	206	yes	no	unknown
1082	47	no	164	no	no	unknown
1083	42	no	690	yes	no	unknown
1084	59	no	2343	yes	no	unknown
1085	46	no	137	yes	yes	unknown
1086	51	no	173	yes	no	unknown
1087	56	no	45	no	no	unknown
1088	41	no	1270	yes	no	unknown
1089	46	no	16	yes	yes	unknown
1090	57	no	486	yes	no	unknown
1091	42	no	50	no	no	unknown
1092	30	no	152	yes	yes	unknown
1093	60	no	290	yes	no	unknown
1094	60	no	54	yes	no	unknown
1095	57	no	-37	no	no	unknown
1096	36	no	101	yes	yes	unknown
1097	55	no	383	no	no	unknown
1098	60	no	81	yes	no	unknown
1099	39	no	0	yes	no	unknown
1100	46	no	229	yes	no	unknown
1101	44	no	-674	yes	no	unknown
1102	53	no	90	no	no	unknown
1103	52	no	128	yes	no	unknown
1104	59	no	179	yes	no	unknown
1105	27	no	0	yes	no	unknown
1106	44	no	54	yes	no	unknown
1107	47	no	151	yes	no	unknown
1108	34	no	61	no	yes	unknown
1109	59	no	30	yes	no	unknown
1110	45	no	523	yes	no	unknown
1111	29	no	31	yes	no	unknown
1112	46	no	79	no	no	unknown
1113	56	no	-34	yes	yes	unknown
1114	36	no	448	yes	no	unknown
1115	59	no	81	yes	no	unknown
1116	44	no	144	yes	no	unknown
1117	41	no	351	yes	no	unknown
1118	33	no	-67	yes	no	unknown
1119	59	no	262	no	no	unknown
1120	57	no	0	no	no	unknown
1121	56	no	56	yes	no	unknown
1122	51	no	26	yes	no	unknown
1123	34	no	3	yes	no	unknown
1124	43	no	41	yes	yes	unknown
1125	52	no	7	no	yes	unknown
1126	33	no	105	yes	no	unknown
1127	29	no	818	yes	yes	unknown
1128	34	no	-16	yes	yes	unknown
1129	31	no	0	yes	no	unknown
1130	55	no	2476	yes	no	unknown
1131	55	no	1185	no	no	unknown
1132	32	no	217	yes	no	unknown
1133	38	no	1685	yes	no	unknown
1134	55	no	802	yes	yes	unknown
1135	28	no	0	yes	no	unknown
1136	23	no	94	yes	no	unknown
1137	32	no	0	yes	no	unknown
1138	43	no	0	no	no	unknown
1139	32	no	517	yes	no	unknown
1140	46	no	265	yes	no	unknown
1141	53	no	947	yes	no	unknown
1142	34	no	3	yes	no	unknown
1143	57	no	42	no	no	unknown
1144	37	no	37	yes	no	unknown
1145	59	no	57	yes	no	unknown
1146	33	no	22	yes	no	unknown
1147	56	no	8	yes	no	unknown
1148	48	no	293	yes	no	unknown
1149	43	no	3	yes	no	unknown
1150	54	no	348	yes	no	unknown
1151	51	no	-19	yes	no	unknown
1152	26	no	0	yes	no	unknown
1153	40	no	-4	yes	no	unknown
1154	39	no	18	yes	no	unknown
1155	50	no	139	no	no	unknown
1156	41	no	0	yes	no	unknown
1157	51	no	1883	yes	no	unknown
1158	60	no	216	yes	no	unknown
1159	52	no	782	yes	no	unknown
1160	48	no	904	yes	no	unknown
1161	48	no	1705	yes	no	unknown
1162	39	no	47	yes	no	unknown
1163	47	no	176	yes	no	unknown
1164	40	no	1225	yes	no	unknown
1165	45	no	86	yes	no	unknown
1166	26	no	82	yes	no	unknown
1167	52	no	271	yes	no	unknown
1168	54	no	1378	yes	no	unknown
1169	54	no	184	no	no	unknown
1170	50	no	0	no	no	unknown
1171	35	no	0	yes	no	unknown
1172	44	no	1357	yes	yes	unknown
1173	53	no	19	yes	no	unknown
1174	35	no	434	no	no	unknown
1175	60	no	92	yes	no	unknown
1176	53	no	1151	yes	no	unknown
1177	48	no	41	yes	no	unknown
1178	34	no	51	yes	no	unknown
1179	54	no	214	yes	no	unknown
1180	51	no	1161	yes	no	unknown
1181	31	no	37	yes	no	unknown
1182	35	no	787	yes	no	unknown
1183	35	no	59	yes	no	unknown
1184	38	no	253	yes	no	unknown
1185	36	no	211	yes	no	unknown
1186	58	no	235	yes	no	unknown
1187	40	no	4384	yes	no	unknown
1188	54	no	4080	no	no	unknown
1189	34	no	53	yes	yes	unknown
1190	31	no	0	yes	no	unknown
1191	51	no	2127	yes	no	unknown
1192	33	no	377	yes	no	unknown
1193	55	no	73	yes	no	unknown
1194	42	no	445	yes	no	unknown
1195	34	no	243	yes	no	unknown
1196	33	no	307	yes	no	unknown
1197	38	no	155	yes	no	unknown
1198	50	no	173	no	yes	unknown
1199	43	no	400	yes	no	unknown
1200	61	no	1428	yes	no	unknown
1201	47	no	219	yes	no	unknown
1202	48	no	7	yes	no	unknown
1203	44	no	575	yes	no	unknown
1204	35	no	298	yes	no	unknown
1205	35	no	0	yes	no	unknown
1206	50	no	5699	yes	no	unknown
1207	41	no	176	yes	yes	unknown
1208	41	no	517	yes	no	unknown
1209	39	no	257	yes	no	unknown
1210	42	no	56	yes	no	unknown
1211	38	no	-390	yes	no	unknown
1212	53	no	330	yes	no	unknown
1213	59	no	195	no	no	unknown
1214	36	no	301	yes	no	unknown
1215	54	no	-41	yes	no	unknown
1216	40	no	483	yes	no	unknown
1217	47	no	28	no	no	unknown
1218	53	no	13	no	no	unknown
1219	46	no	965	no	no	unknown
1220	39	no	378	yes	yes	unknown
1221	40	no	219	yes	no	unknown
1222	28	no	324	yes	no	unknown
1223	35	no	-69	yes	no	unknown
1224	55	no	0	no	yes	unknown
1225	43	no	205	yes	no	unknown
1226	48	no	278	yes	no	unknown
1227	58	no	1065	yes	no	unknown
1228	33	no	34	yes	no	unknown
1229	36	no	1033	no	no	unknown
1230	53	no	1467	yes	no	unknown
1231	47	no	-12	yes	no	unknown
1232	31	no	388	yes	no	unknown
1233	57	no	294	yes	no	unknown
1234	53	no	1827	no	no	unknown
1235	55	no	627	yes	no	unknown
1236	45	no	25	yes	no	unknown
1237	53	no	315	yes	no	unknown
1238	37	no	0	yes	no	unknown
1239	44	no	66	yes	no	unknown
1240	49	no	-9	yes	yes	unknown
1241	46	no	349	yes	yes	unknown
1242	43	no	100	yes	no	unknown
1243	38	no	0	no	no	unknown
1244	43	no	434	yes	no	unknown
1245	49	no	3237	yes	no	unknown
1246	42	no	275	no	no	unknown
1247	22	no	0	yes	no	unknown
1248	40	no	207	yes	no	unknown
1249	39	no	483	yes	no	unknown
1250	51	no	2248	yes	no	unknown
1251	49	no	428	yes	no	unknown
1252	53	no	0	yes	yes	unknown
1253	34	no	0	yes	no	unknown
1254	33	no	140	yes	no	unknown
1255	50	no	297	yes	no	unknown
1256	39	no	279	yes	no	unknown
